rank#,id,admissionTotalNumber,学校,城市,service
342,375,1,金华市外国语学校,金华市,体制内高中
343,434,1,Robert Louis Stevenson School,不适用,美国高中
344,520,5,上海英国学校浦东校区,上海市,外籍国际学校
345,596,2,成都墨尔文公学,成都市,国际课程学校
346,599,2,广东广雅中学,广州市,体制内高中
347,606,1,天津外国语大学附属外国语学校国际部,天津市,国际课程学校
348,618,6,杭州学军中学,杭州市,体制内高中
349,634,1,深圳红岭中学,深圳市,体制内高中
350,649,23,陕西师范大学附属英中学校,西安市,国际课程学校
351,683,1,上海阿德科特国际学校,上海市,国际课程学校
352,737,1,苏州中加枫华国际学校,苏州市,国际课程学校
353,765,1,北京中学,北京市,体制内高中
354,787,1,上海市向明中学,上海市,体制内高中
355,817,1,澳门国际学校,澳门,外籍国际学校
356,828,6,上海新纪元双语学校,上海市,体制内高中
357,864,1,常州市正衡中学国际部,常州市,国际课程学校
358,881,3,沈阳市第二中学,沈阳市,体制内高中
359,891,1,成都七中高新校区,成都市,体制内高中
360,991,7,青岛二中分校,青岛市,体制内高中
361,1041,6,山东省滕州市第一中学,北京市,体制内高中
362,1119,7,福州融侨赛德伯学校,福州市,国际课程学校
363,1126,1,浙江省温州中学,温州市,体制内高中
364,1146,4,合肥市第六中学国际部,合肥市,体制内高中
365,1213,1,绵阳东辰国际学校,绵阳市,国际课程学校
366,1216,2,石家庄市第二中学,石家庄市,体制内高中
367,1230,1,江西科技学院附属中学,南昌市,体制内高中
368,1264,1,江苏省苏州实验中学AP中心,苏州市,国际课程学校
369,1310,12,西安交通大学附属中学,西安市,体制内高中
370,1384,1,上海市普陀区培佳双语,上海市,体制内高中
371,1571,1,昆山加拿大国际学校,北京市,国际课程学校
372,10051,2,昆山美华学校,昆山地级市,
373,10064,1,北京市海淀区尚丽外国语学校,不适用,
374,10071,1,杭州师范大学附属中学,杭州市,
375,10072,1,成都墨尔文学校,成都市,
376,10074,1,无锡市大桥中学,无锡市,
377,10080,1,四川外国语学校,不适用,
378,10084,1,福建省厦门第二中学,厦门市,
379,10110,1,香港诺德安达国际学校,香港,
380,10111,1,Modesto Christian School,不适用,
381,10112,1,宁波华茂外国语学校,宁波市,
382,10117,4,上海法国学校,上海市,
383,10149,1,香港启新书院,香港,
384,10150,1,山东省济南实验高级中学,济南市,
385,10161,2,西安交通大学附属中学国际部,西安市,
386,10177,1,英皇佐治五世学校,香港,
387,10189,3,北京英国学校,北京市,
388,10200,1,天行一中剑桥国际高中,南昌市,
389,10228,1,黑龙江省实验中学	,哈尔滨市,
390,10235,1,如皋市龙游湖外国语学校	,南通市,
391,10239,2,华南师范大学中山附属中学,中山市,
392,10240,1,辽宁沃顿国际学校	,沈阳市,
393,10241,1,中山三鑫双语学校	,中山市,
394,10260,9,青苗国际双语学校（顺义校区）,北京市,
395,10266,2,成都高新实验中学,成都市,
396,10293,1,西安市第八十二中学,西安市, 
397,10295,1,山西省运城市实验中学,运城市, 
398,10296,1,河南省实验中学文博学校,不适用, 
399,10317,1,北京亦庄实验中学,不适用,
400,10458,1,UIA ALEVEL CENTER,宁波市, 
401,10465,1,上海外国语大学第一实验学校,上海市, 
402,10466,1,上海美高双语学校,上海市,
403,10473,18,上海外国语大学附属双语学校,上海市, 
404,10488,1,成都爱思瑟国际学校,成都市, 
405,10497,1,张家口市第十中学,张家口市,
406,10565,7,北京外国语大学附属苏州湾外国语学校,苏州市,
407,85,3,辽宁省实验中学,沈阳市,体制内高中
408,109,1,山东省泰安第一中学,泰安市,体制内高中
409,151,1,上海市进才中学,上海市,体制内高中
410,186,1,湖南师范大学附属中学,长沙市,体制内高中
411,380,2,大连美国国际学校,大连市,国际课程学校
412,463,1,湖北省武昌实验中学,武汉市,体制内高中
413,492,8,UWC 香港,香港,国际课程学校
414,601,6,福建省福州第一中学,福州市,体制内高中
415,615,2,郑州第十一中学,郑州市,体制内高中
416,844,5,昆明金岸中学,昆明市,体制内高中
417,1000,1,山东省青岛第六十六中学,青岛市,体制内高中
418,1003,2,山东省日照一中,日照市,体制内高中
419,1210,43,美国蒙特沃德中学上海分校,上海市,国际课程学校
420,1225,1,北京市海嘉双语学校,北京市,国际课程学校
421,1299,1,广州加拿大国际学校,广州市,外籍国际学校
422,10130,1,西安曲江康桥学校,西安市,
423,10274,1,上海高腾志远创新学校,不适用,
424,10665,4,北京中芯国际学校,不适用,
425,10320,4,北京十一学校国际部,不适用,
426,10321,1,北京一零一中学,不适用,
427,10322,1,北京八中,不适用,
428,10468,1,上海市位育中学,上海市, 
429,10490,2,宁波肯特学校,宁波市,
430,10697,9,费尔蒙特国际中学上海校区,上海市,
431,10713,1,浙江省舟山中学,不适用,
432,10725,1,呼和浩特市第一中学,呼和浩特市,
433,10727,1,哈罗香港国际学校,不适用,
434,10728,6,湛江市第二中学,湛江市,
435,10730,11,香港弘立书院,香港,
436,10737,11,武汉市第六中学国际部,武汉市,
437,10741,2,人大附中通州校区,北京市,
438,10759,2,重庆市第一中学校,不适用,
439,10767,7,上海金山区世界外国语学校,不适用,
440,10772,3,深圳南山国际学校,深圳市,
441,10795,3,Taipei European school,台湾,
442,10801,3,武汉市第二中学国际部,武汉市,
443,10817,6,北京波士顿卫星校园诺维学院,北京市,
444,10822,7,张家港市常青藤实验学校（国际部）,苏州市,
445,10834,1,重庆第一双语学校国际部,重庆市,
446,10837,1,上海音乐学院附中,上海市,
447,10839,2,南京雨花台国际高中,不适用,
448,10867,1,上海民办新虹桥中学,上海市,
449,10868,1,天津美达菲国际高中,天津市,
