rank#,id,admissionTotalNumber,school,学校,国家,isPublic
88,816,12,Lexington High School,列克星敦高中,美国,0
89,1470,4,Basis Independent Brooklyn,贝赛思独立学校布鲁克林校区,美国,0
90,101,5,Woodside Priory School,伍德赛德高中,美国,0
91,136,7,Indian Springs School,印第安纳中学,美国,0
92,805,6,York School,约克中学,美国,0
93,1316,4,Pacific Ridge School,太平洋里奇学校,美国,0
94,355,5,Woodberry Forest School,乌德贝里森林学校,美国,0
95,324,9,Salisbury School,梳士巴利学校,美国,0
96,783,6,Stuart Country Day School,斯图亚特女校,美国,0
97,498,3,Flint Hill School,弗林特山学校,美国,0
98,176,12,Worcester Academy,伍斯特学院,美国,0
99,60,8,Westtown School,西城中学,美国,0
100,51,7,Garrison forest school,格瑞森林中学,美国,0
101,148,5,Saint Mary's School,圣玛丽中学,美国,0
102,418,12,Appleby College,爱普比学校,加拿大,0
103,65,16,St. Anne's-Belfield School,圣安妮贝尔菲尔德学校,美国,0
104,50,1,Baylor School,贝勒中学,美国,0
105,124,55,Culver Academies,考沃尔中学,美国,0
106,405,17,新加坡华侨中学,Hwa Chong Institution,新加坡,0
107,400,5,Hamden Hall Country Day School ,哈姆登霍尔学校,美国,0
108,74,11,Cape Henry Collegiate School,凯普亨瑞学院中学,美国,0
109,63,21,The Pennington School,潘宁顿中学,美国,0
110,534,19,Oaks Christian school,橡树基督教学校,美国,0
111,175,12,Sandy Spring Friends School,珊帝泉友高中,美国,0
112,1089,33,Rabun Gap-Nacoochee School,冉本∙盖普照∙娜库奇中学,美国,0
113,1446,1,U.S.A. Veritas Prep School,美国威力塔斯学校,美国,0
114,590,1,Gaston Day School,盖斯顿中学,美国,0
115,626,8,King's Academy,约旦国王学院,其他,0
116,122,1,Shattuck-St. Mary's School,嘉德圣玛丽高中,美国,0
117,205,22,Cheshire Academy,柴郡中学,美国,0
118,250,5,Cambridge school of Weston,威斯顿剑桥中学,美国,0
119,815,5,Friends Central School,贵格会中央学校,美国,0
120,1300,8,Winston Churchill High School,温斯顿·丘吉尔高中,美国,0
121,68,22,新加坡莱佛士初级学院RJC,Raffles Junior College,新加坡,0
122,203,15,Trinity Pawling School,圣三一珀林中学,美国,0
123,273,10,McCallie School,麦卡利男子中学,美国,0
124,395,11,Virginia Episcopal School,弗吉尼亚主教中学,美国,0
125,482,6,UWC 英国,,英国,0
126,919,6,Canterbury School ,坎特伯雷中学,美国,0
127,484,7,UWC 加拿大,,加拿大,0
128,580,1,Tilton School,,美国,0
129,758,1,Springside Chestnut Hill Academy,泉边栗树山学校,美国,0
130,238,1,Saint John’s Preparatory School,圣约翰预备中学,美国,0
131,258,3,Viewpoint School,理念学校,美国,0
132,261,4,Miss Hall's school,霍尔女子学校,美国,0
133,1194,4,Thayer Academy,萨尔中学,美国,0
134,1263,5,Kimball Uniom Academy,金博联合学院,美国,0
135,81,12,Darlington School,达林顿学校,美国,0
136,100,14,Stevenson School,史蒂文森中学,美国,0
137,194,4,Dana Hall School,达娜豪尔女子高中,美国,0
138,277,2,Flintridge Sacred Heart Academy,福临特里奇圣心学院,美国,0
139,348,4,Bellevue High School,贝尔维尤高中,美国,0
140,493,4,UWC 新加坡,,新加坡,0
141,549,1,Notre Dame High School,圣母高中,美国,0
142,565,10,The Hun School of Princeton,普林斯顿胡恩中学,美国,0
143,753,6,Thornton Academy,桑顿中学,美国,0
144,812,1,Upper Canada College,上加拿大学院,加拿大,0
145,1223,1,The Bolles School,博尔斯学校,美国,0
146,248,18,Wyoming Seminary College Preparatory School,怀俄明高级中学,美国,0
147,319,7,Tower Hill School,塔山学校,美国,0
148,447,6,Hamden Hall Country Day School,哈姆登霍尔学校,美国,0
149,727,1,Stoneleigh-Burnham School,思德博翰女子学校,美国,0
150,67,4,Westover School,威斯多佛学校,美国,0
151,160,2,The Bishop Strachan School,斯特罗恩中学,美国,0
152,167,17,Avon Old Farms School,亚凡古农场中学,美国,0
153,240,4,Portsmouth Abbey School,朴茨茅斯修道院中学,美国,0
154,247,26,St. George's School,圣乔治学校,美国,0
155,358,6,Havergal College ,海福格尔学院,加拿大,0
156,402,10,The Williston Northampton School,威利斯顿∙诺塞普顿中学,美国,0
157,813,1,Skyline High School,天际线高中,美国,0
158,894,3,Gould Academy,高德中学,美国,0
159,1217,1,Bishop Montgomery High School,蒙哥马利主教高中,美国,0
160,1325,1,Mercer Island High School,梅塞岛高中,美国,0
161,1358,1,University High School,大学附设中学,美国,0
162,1391,7,Villanova Preparatory School,维拉诺瓦高中,美国,0
163,339,9,Linsly School,林斯里学校,美国,0
164,344,1,St. Andrew's Episcopal School,圣安德鲁教堂学校-马里兰,美国,0
165,451,3,North Broward Preparatory School,北布罗沃德预备学校,美国,0
166,558,22,Tabor Academy,泰博学院,美国,0
167,598,3,Greater Atlanta Christian school,亚特兰大基督教学院,美国,0
168,1221,1,Newport High School,纽波特中学,美国,0
169,10016,7,Abbey Cambridge College,阿贝学院剑桥分院,英国,0
170,256,2,Saint Anthony's High School,美国圣安东尼高中,美国,0
171,276,6,The Shipley School,费城希普利学校,美国,0
172,560,2,Wycombe Abbey School,,美国,0
173,623,6,Our Lady of Good Counsel High School,女子忠告高中,美国,0
174,873,6,MillBrook School,米尔布鲁克学校,美国,0
175,975,1,Dock Mennonite Academy,,美国,0
176,1124,2,Cape Cod Academy,科德中学	,美国,0
177,1332,12,Forest Ridge School Of The Sacred Heart,,美国,0
178,1428,9,Palos Verdes Peninsula High School,帕洛斯维第斯半岛高中,美国,0
179,1481,2,Academy of Our Lady of Mercy,仁慈圣母学院,美国,0
180,1510,1,San Domenico School,圣多明尼哥中学,美国,0
181,10201,6,北京达罗捷派学校,,中国,0
182,245,6,新加坡华中国际学校,,新加坡,0
183,346,1,Santa Catalina School,圣卡塔利娜学校,美国,0
184,562,3,Chatham Hall,查塔姆霍尔学校,美国,0
185,586,11,Watchung Hills High school,,美国,0
186,594,1,The Bullis School,布利斯学校,美国,0
187,902,8,JSerra Catholic High School,詹赛瑞天主教高中,美国,0
188,926,7,Maumee Valley Country Day School,莫米谷走读中学,美国,0
189,1095,1,Saint John Vianney High Sschool,,美国,0
190,1122,2,The Williams School,威廉姆斯学校,美国,0
191,1401,1,St. Croix Lutheran Academy,圣克罗伊信义学校,美国,0
192,1526,1,新加坡美国国际学校,,新加坡,0
193,123,1,The Seven Hills School,,美国,0
194,139,1,Gilmour Academy,,美国,0
195,228,6,The Northwest School,,美国,0
196,297,3,新加坡英华自主学校,,新加坡,0
197,443,12,Catholic Memorial School,,美国,0
198,593,4,The Putney School,帕特尼中学,美国,0
199,644,19,The Governor's Academy,,美国,0
200,782,1,Forsyth Country Day School,,美国,0
201,1209,1,Harriton High School,,美国,0
202,1224,1,The Frederick Gunn School,,美国,0
203,1541,7,Aquinas International Academy,,美国,0
204,1561,6,Ranney School,,美国,0
205,10073,4,Archbishop Ryan High School,Archbishop Ryan High School,美国,0
206,180,1,Miller School of Albemade,,美国,0
207,191,4,Grier School,,美国,0
208,244,3,Malden Catholic High School,,美国,0
