rank#,admissionTotalNumber,University,University,isPiublic,website
187,62,伯明翰大学,University of Birmingham,0,
188,22,约克大学,University of York,0,
189,2,莱斯特大学,University of Leicester,0,
190,4,埃塞克斯大学,University of Essex,0,
191,1,瑞林艺术设计学院,Ringling College of Art & Design,0,
192,1,罗格斯大学纽瓦克分校,"Rutgers, the State University of New Jersey-Newark",0,
193,23,不列颠哥伦比亚大学,The University of British Columbia,0,
194,2,莎拉劳伦斯学院,Sarah Lawrence College,0,
195,5,斯基德摩尔学院,Skidmore College,0,
196,12,麦卡利斯特学院,Macalester College,0,
197,1,奥蒂斯艺术设计学院,Otis College of Art and Design,0,
198,10,萨凡纳艺术与设计学院,Savannah College of Art and Design,0,
199,135,华盛顿大学西雅图校区,University of Washington，Seattle,0,
200,88,悉尼大学,The University of Sydney,0,
201,26,新南威尔士大学,The University of New South Wales,0,
202,11,蒙纳士大学,Monash University,0,
203,19,西北大学卡塔尔分校,Northwestern University in Qatar,0,
204,1,耶鲁-新加坡国立大学学院,Yale-NUS College,0,
205,1,克拉克大学,Clark University,0,
206,5,里德学院,Reed College,0,
207,31,诺丁汉大学,University of Nottingham,0,
208,4,伦敦玛丽女王大学,"Queen Mary, University of London",0,
209,1,萨塞克斯大学,University of Sussex,0,
210,11,伦敦艺术大学,University of the Arts London,0,
211,1,新学院,The New School,0,
212,4,罗彻斯特理工学院,Rochester Institute of Technology,0,
213,3,劳伦斯大学,Lawrence University,0,
214,1,宾州州立大学哈里斯堡分校,,0,
215,2,中佛罗里达大学,University of Central Florida,0,
216,1,肯塔基大学,University of Kentucky,0,
217,1,科罗拉多州立大学,Colorado State University,0,
218,10,亚利桑那大学,University of Arizona,0,
219,1,东伊利诺伊大学,Eastern Illinois University,0,
220,2,加州州立大学洛杉矶分校,"California State University, Los Angeles",0,
221,1,加州州立理工大学,"California Polytechnic State University, San Luis Obispo",0,
222,2,奥克兰大学,Oakland University,0,
223,1,圣路易斯大学,Saint Louis University,0,
224,7,特拉华大学,University of Delaware,0,
225,1,德州农工大学圣安东尼奥分校,Texas A&M University-San Antonio,0,
226,1,俄亥俄大学,Ohio University,0,
227,1,东华盛顿大学,Eastern Washington University,0,
228,2,伊利诺伊理工大学,Illinois Institute of Technology,0,
229,2,盖茨堡学院,Gettysburg College,0,
230,166,宾州州立大学,Pennsylvania State University,0,
231,1,纽约市立大学,CUNY New York City College of Technology,0,
232,6,旧金山大学,University of San Francisco,0,
233,1,圣奥拉夫学院,St. Olaf College,0,
234,1,西雅图大学,Seattle University,0,
235,3,威斯敏斯特学院,Westminster College,0,
236,3,艾格尼丝斯科特学院,Agnes Scott College,0,
237,1,德保罗大学,DePaul University,0,
238,1,南弗吉尼亚大学,Southern Virginia University,0,
239,1,石溪大学,Stony Brook University,0,
240,23,加州大学默塞德分校,"University of California, Merced",0,
241,1,东康涅狄格州立大学,Eastern Connecticut State University,0,
242,1,埃默里-亨利学院,Emory & Henry College,0,
243,1,宾州印第安纳大学,Indiana University of Pennsylvania,0,
244,1,肯特州立大学,Kent State University,0,
245,3,宾夕法尼亚州立大学贝伦德分校,Penn State Behrend,0,
246,2,匹兹堡大学格林斯堡分校,University of Pittsburgh at Greensburg,0,
247,1,威斯康辛大学史帝文分校,University of Wisconsin-Stevens Point,0,
248,2,卫斯理学院,Wesley College,0,
249,5,卫斯理安学院,Wesleyan College,0,
250,2,旧金山艺术大学,Academy of Art University,0,
251,1,阿勒格尼学院,Allegheny College,0,
252,2,康考迪亚大学威斯康星分校,Concordia University Wisconsin,0,
253,1,迪恩学院,Dean College,0,
254,1,莫瑞麦克学院,Merrimack College,0,
255,1,宾州州立大学阿尔图纳校区,Penn State Altoona,0,
256,1,纽约州立大学奥尔巴尼分校,SUNY Albany,0,
257,1,三一大学,Trinity University,0,
258,6,明尼苏达大学罗切斯特大学,University of Minnesota-Rochester,0,
259,1,新罕布什尔大学曼彻斯特分校,University of New Hampshire at Manchester,0,
260,1,韦尔斯学院,Wells College,0,
261,1,基石大学,Cornerstone University,0,
262,1,加拿大阿尔伯塔大学,,0,
263,40,麦吉尔大学,McGill University,0,
264,1,加州艺术学院（CAL Arts）,California Institute of the Arts,0,
265,1,埃克塞特大学,University of Exeter,0,
266,2,韦仕敦大学,Western University,0,
267,8,滑铁卢大学,University of Waterloo,0,
268,4,伦敦大学金史密斯学院,"Goldsmiths, University of London",0,
269,3,罗斯-霍曼理工学院,Rose-Hulman Institute of Technology,0,
270,1,宾州艺术学院,Pennsylvania Academy of the Fine Arts,0,
271,1,肯特大学,University of Kent,1,
272,60,墨尔本大学,The University of Melbourne,1,
273,10,渥太华大学	,University of Ottawa,1,
274,12,香港理工大学,Hong Kong Polytechnic University,1,
275,35, 香港科技大学,The Hong Kong University of Science and Technology,1,
276,3,美国MI现代音乐学院,MI College of Contemporary Music,0,
277,9,香港中文大学,The Chinese University of Hong Kong,1,
278,2,圣约翰学院,St.John's College,0,
279,66,香港大学,The University of Hong Kong ,1,
280,9,阿姆斯特丹大学,University of Amsterdam,1,
281,12,昆士兰大学,University of Queensland,1,
282,5,麦克马斯特大学,McMaster University,1,
283,6,西安大略大学,Western University,1,
284,1,萨里大学,University of Surrey,1,
285,4,女王大学,Queen's University,1,
286,1,瑞格林艺术与设计学院 ,Ringling College of Art and Design,0,
287,3,瑞士洛桑酒店管理学院,Ecole Hoteliere de Lausanne,1,
288,1,阿伯丁大学,University of Aberdeen,1,
289,1,亚伯大学,Aberystwyth University,1,
290,1,韦仕敦大学国王大学学院,King's University College at Western University,1,
291,2,新加坡国立大学,National University of Singapore (NUS),1,
292,1,立命馆亚洲太平洋大学,APU,0,
293,1,科尔本音乐学院,The Colburn School,0,
294,9,哥伦比亚大学-都柏林圣三一学院双学位项目,,0,
295,2,哥伦比亚大学-巴黎政治学院双学位项目,,0,
296,3,哥伦比亚大学-特拉维夫大学双学位项目,,0,
297,1,新英格兰音乐学院,New England Conservatory,0,
